,type3,project_num,tasks,task_num,detail1,detail1_num,detail2,detail2_num,detail3,value,,,,,
0,workspaceSections,0,id,,,,,,,a340fd5a-af7c-4526-ad43-018f5f59abe3,,,,,
1,workspaceSections,0,slug,,,,,,,dtech-guild,,,,,
2,workspaceSections,0,name,,,,,,,dTech Guild,,,,,
3,workspaceSections,0,createdAt,,,,,,,2022-03-18T16:29:01.423Z,,,,,
4,workspaceSections,1,id,,,,,,,eadc2630-1aaa-4734-88d4-f602fa4a7b9a,,,,,
5,workspaceSections,1,slug,,,,,,,operations-guild,,,,,
6,workspaceSections,1,name,,,,,,,Operations Guild,,,,,
7,workspaceSections,1,createdAt,,,,,,,2022-05-04T17:55:33.135Z,,,,,
8,workspaceSections,2,id,,,,,,,581f67b0-3279-4ac0-9276-28e9d615fcad,,,,,
9,workspaceSections,2,slug,,,,,,,test-office-hours,,,,,
10,workspaceSections,2,name,,,,,,,People Guild,,,,,
11,workspaceSections,2,createdAt,,,,,,,2022-05-27T12:06:45.986Z,,,,,
12,workspaceSections,3,id,,,,,,,6f14c359-b23f-4008-a076-fc40de68e915,,,,,
13,workspaceSections,3,slug,,,,,,,dgov-bounties,,,,,
14,workspaceSections,3,name,,,,,,,dGov Guild,,,,,
15,workspaceSections,3,createdAt,,,,,,,2022-06-19T21:04:25.562Z,,,,,
16,workspaces,0,id,,,,,,,15e87920-5149-4cbf-8ba5-397b11197f14,,,,,
17,workspaces,0,slug,,,,,,,ops-management-tasks,,,,,
18,workspaces,0,name,,,,,,,Ops Management Tasks,,,,,
19,workspaces,0,createdAt,,,,,,,2022-05-04T17:57:02.136Z,,,,,
20,workspaces,0,sectionId,,,,,,,eadc2630-1aaa-4734-88d4-f602fa4a7b9a,,,,,
21,workspaces,0,tasks,0,id,,,,,65b1e04e-f0e2-4bf8-9ec0-211b3886d20f,,,,,
22,workspaces,0,tasks,0,name,,,,,Discord Office Hours 3,,,,,
23,workspaces,0,tasks,0,status,,,,,DONE,,,,,
24,workspaces,0,tasks,0,priority,,,,,NONE,,,,,
25,workspaces,0,tasks,0,tags,0,label,,,discord,,,,,
26,workspaces,0,tasks,0,tags,1,label,,,Ops,,,,,
27,workspaces,0,tasks,0,createdAt,,,,,2022-08-07T23:21:39.528Z,,,,,
28,workspaces,0,tasks,0,updatedAt,,,,,2022-08-07T23:21:39.528Z,,,,,
29,workspaces,0,tasks,0,doneAt,,,,,2022-08-07T23:21:39.481Z,,,,,
30,workspaces,0,tasks,0,owners,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
31,workspaces,0,tasks,0,owners,0,username,,,lion917,,,,,
32,workspaces,0,tasks,0,owners,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
33,workspaces,0,tasks,0,owners,0,threepids,0,source,discord,,,,,
34,workspaces,0,tasks,0,owners,0,threepids,0,threepid,1.31E+17,,,,,
35,workspaces,0,tasks,0,owners,0,threepids,1,source,metamask,,,,,
36,workspaces,0,tasks,0,owners,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
37,workspaces,0,tasks,0,assignees,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
38,workspaces,0,tasks,0,assignees,0,username,,,lion917,,,,,
39,workspaces,0,tasks,0,assignees,0,createdAt,,,2022-02-21T18:30:47.726Z,,,,,
40,workspaces,0,tasks,0,assignees,0,threepids,0,source,discord,,,,,
41,workspaces,0,tasks,0,assignees,0,threepids,0,threepid,1.31E+17,,,,,
42,workspaces,0,tasks,0,assignees,0,threepids,1,source,metamask,,,,,
43,workspaces,0,tasks,0,assignees,0,threepids,1,threepid,0xa23de4b54e18bAaeeFAc9FdBCD78EAD69c8B1C66,,,,,
44,workspaces,0,tasks,1,id,,,,,43c976e2-2204-4db3-a78e-9b4ccce45fb0,,,,,
45,workspaces,0,tasks,1,name,,,,,Discord Office Hours 1,,,,,
46,workspaces,0,tasks,1,status,,,,,DONE,,,,,
47,workspaces,0,tasks,1,priority,,,,,NONE,,,,,
48,workspaces,0,tasks,1,tags,0,label,,,Ops,,,,,
49,workspaces,0,tasks,1,tags,1,label,,,discord,,,,,
50,workspaces,0,tasks,1,createdAt,,,,,2022-08-07T23:21:12.736Z,,,,,
51,workspaces,0,tasks,1,updatedAt,,,,,2022-08-07T23:21:12.736Z,,,,,
52,workspaces,0,tasks,1,doneAt,,,,,2022-08-07T23:21:12.691Z,,,,,
53,workspaces,0,tasks,1,owners,0,id,,,6d116b00-8a36-427f-af7e-607e6deed574,,,,,
