,type3,project_num,tasks,task_num,detail1,detail1_num,detail2,detail2_num,detail3,value
0,workspaces,0,id,,,,,,,a340fd5a-af7c-4526-ad43-018f5f59abe3
1,workspaces,0,slug,,,,,,,dtech-guild
2,workspaces,0,name,,,,,,,dTech Guild
3,workspaces,0,createdAt,,,,,,,2022-03-18T16:29:01.423Z
4,workspaces,1,id,,,,,,,eadc2630-1aaa-4734-88d4-f602fa4a7b9a
5,workspaces,1,slug,,,,,,,operations-guild
6,workspaces,1,name,,,,,,,Operations Guild
7,workspaces,1,createdAt,,,,,,,2022-05-04T17:55:33.135Z
8,workspaces,2,id,,,,,,,581f67b0-3279-4ac0-9276-28e9d615fcad
9,workspaces,2,slug,,,,,,,test-office-hours
10,workspaces,2,name,,,,,,,People Guild
11,workspaces,2,createdAt,,,,,,,2022-05-27T12:06:45.986Z
12,projects,0,id,,,,,,,bbee5cb5-791e-4d94-9558-37ff0cbc5f9e
13,projects,0,slug,,,,,,,season-0-bounty-owne
14,projects,0,name,,,,,,,Season 0 Bounty Owners
15,projects,0,createdAt,,,,,,,2022-02-27T20:36:14.139Z
16,projects,0,workspaceId,,,,,,,
17,projects,0,tasks,0,id,,,,,8d759b3f-b7d2-4263-b8b9-5256aaab2cdd
18,projects,0,tasks,0,name,,,,,Tech Guild Dework Integration
19,projects,0,tasks,0,status,,,,,DONE
20,projects,0,tasks,0,priority,,,,,NONE
21,projects,0,tasks,0,createdAt,,,,,2022-03-09T18:11:19.288Z
22,projects,0,tasks,0,updatedAt,,,,,2022-03-09T18:16:35.076Z
23,projects,0,tasks,0,doneAt,,,,,2022-03-09T18:16:35.076Z
24,projects,0,tasks,0,owners,0,id,,,e49397ea-6b04-4056-8c67-236b903500c5
25,projects,0,tasks,0,owners,0,username,,,Anukriti
26,projects,0,tasks,0,owners,0,createdAt,,,2022-01-24T14:26:43.788Z
27,projects,0,tasks,0,owners,0,threepids,0,source,discord
28,projects,0,tasks,0,owners,0,threepids,0,threepid,8.95719E+17
29,projects,0,tasks,0,assignees,0,id,,,8d068287-c1ed-4180-92f4-cba3987b2e60
